Review,Sentiment,Category,Topics
"I can't say enough good things about this diner. The burger exceeded my expectations, and the service was impeccable.",Positive,Dining Experience,"burger, service"
The food at this restaurant was amazing! I had the steak and it was cooked to perfection. The service was also top-notch.,Positive,Dining Experience,"steak, service"
The sushi at this place was terrible. It was bland and poorly cooked. I won't be coming back here anytime soon.,Negative,Food,sushi
"I had an okay experience at this hotel. The steak was average, and the service was adequate.",Neutral,Dining Experience,"steak, service"
"The pizza at this place was decent. Nothing exceptional, but nothing terrible either. I might come back if I'm in the area.",Neutral,Food,pizza
The salad at this place was terrible. It was bland and poorly cooked. I won't be coming back here anytime soon.,Negative,Food,salad
"We had a wonderful time at this diner. The steak was fantastic, and the ambiance was perfect for a relaxing evening.",Positive,Dining Experience,"steak, atmosphere"
"I had an okay experience at this bar. The pasta was average, and the service was adequate.",Neutral,Dining Experience,"pasta, service"
"I love the cozy atmosphere of this place. The sushi was delicious, and the staff were friendly and attentive.",Positive,Dining Experience,"atmosphere, sushi, staff"
"This restaurant was alright. The pasta was nothing special, but it wasn't bad either. I probably won't return, but it was fine for a one-time visit.",Neutral,Dining Experience,pasta
"The steak at this place was decent. Nothing exceptional, but nothing terrible either. I might come back if I'm in the area.",Neutral,Food,steak
"This diner was alright. The pizza was nothing special, but it wasn't bad either. I probably won't return, but it was fine for a one-time visit.",Neutral,Dining Experience,pizza
"I had an okay experience at this restaurant. The pasta was average, and the service was adequate.",Neutral,Dining Experience,"pasta, service"
"The pizza at this place was decent. Nothing exceptional, but nothing terrible either. I might come back if I'm in the area.",Neutral,Food,pizza
The service at this hotel was atrocious. The staff were rude and unprofessional. I would not recommend this place to anyone.,Negative,Service,staff
"I love the cozy atmosphere of this place. The burger was delicious, and the staff were friendly and attentive.",Positive,Dining Experience,"atmosphere, burger, staff"
